ID_opera,Provenienza,Titolo,Tipo,Materiale,Soggetto(QID),Autore_1(QID),Autore_2(QID),Autore_3(QID),Data,Specifiche_Data(Da-A),Data_Restauro,Autore_Restauro
LUCAMARTINA_001,CAPPELLA,FILIPPO ALBACINI,STATUA,NULL,FILIPPO ALBACINI (Q55225013),A.GALLI(NULL),NULL,NULL,1880,NULL,NULL,NULL
LUCAMARTINA_002,CAPPELLA,SEPOLCRO,MONUMENTO FUNEBRE,NULL,G.B.SORIA (Q1111419),NULL,NULL,NULL,XVII SECOLO,1600-1699,NULL,NULL
LUCAMARTINA_003,CAPPELLA,GIOVANNI BATTISTA SORIA,STATUA,MARMO,G.B.SORIA (Q1111419),NULL,NULL,NULL,XVII SECOLO,1600-1699,NULL,NULL
LUCAMARTINA_004,CAPPELLA,SEPOLCRO,MONUMENTO FUNEBRE,NULL,PIETRO DA CORTONA (Q333323),NULL,NULL,NULL,1669,NULL,NULL,NULL
LUCAMARTINA_005,SEPOLCRO DI PIETRO DA CORTONA,PIETRO DA CORTONA,STATUA,MARMO,PIETRO DA CORTONA (Q333323),SCUOLA DEL BERNINI,NULL,NULL,1669,NULL,NULL,NULL 
LUCAMARTINA_006,CAPPELLA,EPIGRAFE APOCRIFA,ISCRIZIONE,NULL,NULL,"GAUDENZIO, ARCHITETTO DEL COLOSSEO (NULL)",NULL,NULL,XVII SECOLO,1600-1699,NULL,NULL
LUCAMARTINA_007,SOTTERRANEO,STUCCHI,CICLO DI SCULTURE,STUCCO,NULL,PIETRO DA CORTONA (Q333323),NULL,NULL,NULL,NULL,NULL,NULL
LUCAMARTINA_008,SOTTERRANEO,S.SABINA,STATUA,PEPERINO,S.SABINA (Q262751),COSIMO FANCELLI (Q2697303),NULL,NULL,NULL,NULL,NULL,NULL
LUCAMARTINA_009,SOTTERRANEO,S.EUFEMIA,STATUA,PEPERINO,S.EUFEMIA (Q240610),COSIMO FANCELLI (Q2697303),NULL,NULL,NULL,NULL,NULL,NULL
LUCAMARTINA_010,SOTTERRANEO,S.DOROTEA,STATUA,PEPERINO,S.DOROTEA (Q242274),COSIMO FANCELLI (Q2697303),NULL,NULL,NULL,NULL,NULL,NULL
LUCAMARTINA_011,SOTTERRANEO,S.TEODORA,STATUA,PEPERINO,S.TEODORA (Q434579),COSIMO FANCELLI (Q2697303),NULL,NULL,NULL,NULL,NULL,NULL
LUCAMARTINA_012,SOTTERRANEO,LA DEPOSIZIONE,BASSORILIEVO,TERRACOTTA,NULL,ALGARDI (Q336798),NULL,NULL,NULL,NULL,NULL,NULL
LUCAMARTINA_013,SOTTERRANEO,PITTURA,NULL,NULL,NULL,GUGLIELMO CORTESE (Q1749032),NULL,NULL,NULL,NULL,NULL,NULL
LUCAMARTINA_014,SOTTERRANEO,PITTURA,NULL,NULL,NULL,LAZZARO BALDI (Q3220072),NULL,NULL,NULL,NULL,NULL,NULL
LUCAMARTINA_015,SOTTERRANEO,ALTARE,SCULTURA,BRONZO,ALTARE (Q101687),GIOVANNI PISCINA (Q17631700),PIETRO DA CORTONA (Q333323),NULL,NULL,NULL,NULL,NULL
LUCAMARTINA_016,CIBORIO,BASSORILIEVO,BASSORILIEVO,ALABASTRO,NULL,ALGARDI (Q336798),PIETRO DA CORTONA (Q333323),NULL,NULL,NULL,NULL,NULL
LUCAMARTINA_017,CIBORIO,BASSORILIEVO,BASSORILIEVO,ALABASTRO,NULL,ALGARDI (Q336798),PIETRO DA CORTONA (Q333323),NULL,NULL,NULL,NULL,NULL
LUCAMARTINA_018,SOTTERRANEO,S.CONCORDIO,NULL,NULL,S.CONCORDIO (Q3946899),ALGARDI (Q336798),NULL,NULL,NULL,NULL,NULL,NULL
LUCAMARTINA_019,SOTTERRANEO,S.EPIFANO,NULL,NULL,S.EPIFANO (Q313922),ALGARDI (Q336798),NULL,NULL,NULL,NULL,NULL,NULL
