ID_Chiesa,Nome,Wikidata,Ubicazione,Costruzione,Stato_attuale_chiesa,contenuto_sotterranei,Edificazione_sotterranei,Stato_sotterranei,modalità_accesso_sotterranei
01,S. Agnese,Q1636696,via Nomentana,324,in funzione,catacombe,II secolo,aperto al pubblico,a pagamento
02,S. Agnese,Q1192577,piazza Navona,XVII secolo,in funzione,cripta,VII secolo,aperto al pubblico,a pagamento
03,S. Clemente,Q385910,via S. Giovanni in Laterano,IV secolo,in funzione,basilica,NULL,aperto al pubblico,a pagamento
04,S. Croce in Gerusalemme,Q685940,piazza S. Croce in Gerusalemme,330,in funzione,complesso di cappelle,NULL,NULL,NULL
05,SS. Giovanni e Paolo,Q1586946,rione Celio,398,in funzione,antiche abitazioni romane,II o III secolo,aperto al pubblico,a pagamento
06,S. Lorenzo in fonte,Q727686,via Urbana,NULL,in funzione,specchio d'acqua sorgiva,NULL,aperto al pubblico,gratuito su richiesta
07,S. Lorenzo fuori le mura,Q738214,piazzale del Verano,IV secolo,in funzione,antiche chiese,NULL,aperto al pubblico,NULL
08,SS. Luca e Martina,Q1813867,Foro Romano,VII secolo,in funzione,chiesa,NULL,NULL,NULL
09,S. Maria della concezione,Q546141,piazza Barberini,1624,in funzione,antico cimitero,NULL,aperto al pubblico,a pagamento
10,S. Maria in Via Lata,Q846559,via del Corso,VIII secolo,in funzione,antico pozzo,NULL,aperto al pubblico,a pagamento
11,S. Maria Scala Coeli,Q3673527,via di Acque Salvie,800,in funzione,cimitero,NULL,aperto al pubblico,gratuito
12,S. Pietro in Vaticano,Q12512,Città del Vaticano,319,in funzione,complesso di grotte,IV secolo,aperto al pubblico,gratuito
13,S. Pietro e Marcellino,Q3668265,via Labicana,XVII secolo,in funzione,catacombe,IV secolo,aperto al pubblico,a pagamento
14,S. Prisca,Q1750627,via di Santa Prisca,NULL,in funzione,chiesa paleocristiana,NULL,aperto al pubblico,a pagamento
15,SS. Quattro Coronati,Q1536044,via dei SS. Quattro,V secolo,in funzione,cappella,NULL,NULL,NULL
16,S. Sebastiano,Q658051,via Appia Antica,,in funzione,antico oratorio,NULL,aperto al pubblico,gratuito (oratorio) e a pagamento (catacombe)
17,SS. Vincenzo e Anastasio,Q2313394,piazza di Trevi,NULL,in funzione,mausoleo,NULL,NULL,NULL
