ID_Chiesa,Nome,Ubicazione,Costruzione,Stato_attuale_chiesa,contenuto_sotterranei,Edificazione_sotterranei,Stato_attuale_sotterranei,modalità_accesso_sotterranei
01,S. Clemente,via S. Giovanni in Laterano,IV secolo,in funzione,basilica,NULL,aperto al pubblico,a pagamento
02,SS. Luca e Martina,Foro Romano,VII secolo,in funzione,chiesa,NULL,NULL,NULL
03,S. Pietro,Città del Vaticano,319,sede del Papato,complesso di grotte,IV secolo,aperto al pubblico, gratuito
04,SS. Quattro Coronati,via dei SS. Quattro,V secolo,in funzione,cappella,NULL,NULL,NULL
05,S. Croce in Gerusalemme,piazza S. Croce in Gerusalemme,330,in funzione,complesso di cappelle,NULL,NULL,NULL
06,S. Agnese,piazza Navona,XVII secolo,in funzione,cripta,VII secolo,aperto al pubblico,a pagamento
07,SS. Giovanni e Paolo,rione Celio,398,in funzione, antiche abitazioni romane,II o III secolo,aperto al pubblico,a pagamento
08,S. Lorenzo in fonte,via Urbana,NULL,in funzione,specchio d'acqua sorgiva,NULL,aperto al pubblico,gratuito su richiesta
09,S. Lorenzo fuori le mura,piazzale del Verano,IV secolo,in funzione,antiche chiese;cripte;mausoleo,NULL,aperto al pubblico,NULL
10,S. Maria della concezione,piazza Barberini,1624,in funzione,antico cimitero,NULL,aperto al pubblico,a pagamento
11,S. Maria in Cosmedin,piazza della Bocca della verità,VIII secolo,in funzione,antichi templi pagani,NULL,aperto al pubblico,gratuito
12,S. Maria in Via Lata,via del Corso,VIII secolo,in funzione,antico pozzo;pitture;bassorilievi,NULL,aperto al pubblico,a pagamento
13,S. Martino ai monti,viale monte Oppio,500,in funzione,antica chiesa;terme romane;strutture paleocristiane,IV secolo (la chiesa),aperto al pubblico,a pagamento
14,S. Maria Scala Coeli,via di Acque Salvie,800,in funzione,cimitero,NULL,aperto al pubblico,gratuito
15,S. Prisca,via di Santa Prisca,NULL, in funzione,chiesa paleocristiana,NULL,aperto al pubblico,a pagamento
16,S. Sebastiano,via Appia Antica,NULL,in funzione,antico oratorio;catacombe,NULL,aperto al pubblico,gratuito (oratorio);a pagamento (catacombe)
17,SS. Vincenzo e Anastasio,piazza di Trevi,NULL,in funzione,mausoleo,NULL,NULL,NULL
