Nome,Ubicazione,Costruzione,Stato attuale (chiesa),contenuto dei sotterranei,Edificazione (sott.),Stato attuale (sott.),modalità d'accesso (sott.)
S. Clemente,via S. Giovanni in Laterano,IV secolo,in funzione,basilica,NULL,aperto al pubblico,a pagamento
SS. Luca e Martina,Foro Romano,VII secolo,in funzione,chiesa,NULL,NULL,NULL
S. Pietro,Città del Vaticano,319,sede del Papato,complesso di grotte,IV secolo,aperto al pubblico, gratuito
SS. Quattro Coronati,via dei SS. Quattro,V secolo,in funzione,cappella,NULL,NULL,NULL
Santa Croce in Gerusalemme,piazza S. Croce in Gerusalemme,330,in funzione,complesso di cappelle,NULL,NULL,NULL
S. Agnese,piazza Navona,XVII secolo,in funzione,cripta,VII secolo,aperto al pubblico,a pagamento
SS. Giovanni e Paolo,rione Celio,398,in funzione, antiche abitazioni romane,II o III secolo,aperto al pubblico,a pagamento
S. Lorenzo in fonte,via Urbana,NULL,in funzione,specchio d'acqua sorgiva,NULL,aperto al pubblico,gratuito su richiesta
S. Lorenzo fuori le mura,piazzale del Verano,IV secolo,in funzione,antiche chiese;cripte;mausoleo,NULL,aperto al pubblico,NULL
S. Maria della concezione,piazza Barberini,1624,in funzione,antico cimitero,NULL,aperto al pubblico,a pagamento
S. Maria in Cosmedin,piazza della Bocca della verità,VIII secolo,in funzione,antichi templi pagani,NULL,aperto al pubblico,gratuito
S. Maria in Via Lata,via del corso,VIII secolo,in funzione,antico pozzo;pitture;bassorilievi,NULL,aperto al pubblico,a pagamento
S. Martino ai monti,viale monte Oppio,500,in funzione,antica chiesa;terme romane;strutture paleocristiane,IV secolo (la chiesa),aperto al pubblico,a pagamento
